"Faction","X","Y"
"Neutral","1275","1793"
"Neutral","-2139","1010"
"Lycentian","-312","-326"
"Neutral","2251","-1428"
"Neutral","128","1883"
"Foralkan","1072","-633"
"Neutral","42","878"
"Neutral","642","-2851"
"Neutral","-922","-574"
"Lycentian","-571","-896"
"Neutral","-172","-823"
"Neutral","2398","-594"
"Kavani","552","1511"
"Neutral","-851","-1184"
"Neutral","-1711","-1016"
"Neutral","-1443","1169"
"Neutral","319","3445"
"Neutral","564","623"
"Neutral","1494","2373"
"Neutral","-1797","1958"
"Neutral","148","-1073"
"Neutral","-216","-1083"
"Neutral","2152","-125"
"Neutral","581","112"
"Neutral","-121","-1212"
"Neutral","710","-88"
"Neutral","905","-2060"
"Neutral","-1787","1286"
"Neutral","206","-190"
"Neutral","1463","1169"
"Neutral","-43","-890"
"Neutral","332","1703"
"Neutral","-2608","24"
"Neutral","-1761","699"
"Neutral","1548","-145"
"Neutral","3126","718"
"Neutral","-517","-2637"
"Neutral","-1489","3208"
"Lycentian","-957","-276"
"Neutral","-1993","-1880"
"Neutral","-2298","172"
"Neutral","3094","36"
"Neutral","2318","-2005"
"Neutral","-1072","-2075"
"Neutral","-1452","3168"
"Neutral","2138","-1080"
"Neutral","2225","1503"
"Neutral","-125","-2027"
"Neutral","-2218","-857"
"Neutral","578","-1741"
"Neutral","302","2535"
"Neutral","2917","-1539"
"Neutral","3119","-1548"
"Neutral","-1042","-2015"
"Neutral","-2391","953"
"Neutral","808","2638"
"Neutral","751","2277"
"Neutral","301","-2940"
"Neutral","1296","1920"
"Lycentian","-437","-607"
"Neutral","2234","-170"
"Neutral","-2425","297"
"Neutral","-1544","-988"
"Neutral","-1826","2134"
"Neutral","1180","2268"
"Neutral","-2084","-1766"
"Neutral","-1050","2481"
"Neutral","2870","1886"
"Neutral","-1935","-908"
"Foralkan","788","-746"
"Neutral","2880","435"
"Neutral","-1015","1987"
"Neutral","-1555","-2678"
"Neutral","2594","-1582"
"Neutral","-691","-1452"
"Neutral","-1825","72"
"Neutral","2978","528"
"Neutral","-702","643"
"Neutral","-848","2275"
"Neutral","-2","691"
"Neutral","-706","1655"
"Lycentian","-867","-25"
"TradeUnion","699","276"
"Neutral","-612","-2796"
"Neutral","1533","673"
"Neutral","-111","-74"
"Neutral","-1174","2526"
"Neutral","-2540","392"
"Neutral","-1392","-245"
"Neutral","-3032","-425"
"Neutral","2305","-1447"
"Neutral","-1163","3028"
"Neutral","2984","-234"
"Lycentian","-298","-595"
"Neutral","-161","-130"
"Neutral","537","394"
"Neutral","-1490","-2684"
"Neutral","149","-3155"
"Neutral","-2126","1768"
"Neutral","2229","-1061"
"Neutral","1476","-1509"
"Neutral","2100","-1412"
"Neutral","-3070","-256"
"Lycentian","-362","-190"
"Neutral","-1894","47"
"Neutral","-1514","-2516"
"Neutral","33","1771"
"Neutral","-2083","228"
"Neutral","-1062","-910"
"Neutral","-2117","370"
"Neutral","1269","1043"
"Neutral","1408","2665"
"Neutral","-3000","420"
"Neutral","-828","2908"
"Neutral","3205","1631"
"Foralkan","1167","-662"
"Neutral","2436","-2337"
"Neutral","1889","-1752"
"Neutral","1114","950"
"Neutral","-1873","2515"
"Lycentian","-410","-971"
"Neutral","1882","-603"
"Foralkan","756","-855"
"Neutral","-2109","-827"
"Neutral","497","2946"
"Neutral","2499","-467"
"Neutral","-92","-1155"
"Neutral","-14","-316"
"Neutral","2348","1062"
"Neutral","497","3001"
"Neutral","2798","-722"
"Neutral","-268","1129"
"Neutral","-1357","-481"
"Neutral","-1998","1810"
"Neutral","-1887","-658"
"Neutral","1873","-1397"
"Neutral","2316","4"
"Neutral","-1087","2986"
"Neutral","2443","2473"
"Neutral","-2534","221"
"Neutral","1384","-1183"
"Neutral","2940","-1509"
"Neutral","383","3501"
"Neutral","1877","2720"
"Neutral","403","2892"
"Neutral","2083","-1349"
"Neutral","-455","2904"
"Neutral","-578","2609"
"Foralkan","752","-683"
"Neutral","990","2652"
"Neutral","895","-3102"
"Neutral","-2604","-366"
"Neutral","-696","-2873"
"Neutral","-223","2046"
"Neutral","979","2511"
"Neutral","1941","661"
"Neutral","2459","63"
"Neutral","-2281","-1448"
"Neutral","-943","-944"
"Neutral","-1634","177"
"Neutral","-1457","-2573"
"Neutral","-5","-1970"
"Neutral","-1415","125"
"Neutral","2295","376"
"Neutral","2880","907"
"Neutral","1753","805"
"Neutral","1621","2911"
"Neutral","2196","-1091"
"Neutral","264","3029"
"Neutral","620","582"
"Foralkan","1056","-334"
"Neutral","-237","2370"
"Neutral","-1650","-1287"
"Neutral","2993","57"
"Neutral","-387","2902"
"Neutral","-1321","-506"
"Neutral","36","-1918"
"Neutral","897","2466"
"Neutral","3071","-822"
"Neutral","1836","-1311"
"Neutral","2069","-1386"
"Neutral","-1258","3124"
"Neutral","187","-506"
"Syndicate","-1864","795"
"Neutral","382","-762"
"Neutral","-1572","-1999"
